Level Cap,All/Prof,Quest Name,Quest Description,Quest Reward / Iron Coin,Description,LocationID,Location
2,All,Clearing the Mortiig Beach,• Kill 30 Callous Mortiig\n• Kill Inicha\n• Kill Aniuchach\n• Kill Ichiachich\n• Kill Tuaninnik,30,Kill 30 Mortiigs and named bosses including Inicha and Aniuchach. Clear the shoreline.,4540,Ely
2,All,Alone at the Office,• Solo Kill Lab Director,40,Solo kill the Lab Director. Handle business personally.,1941,Foreman
2,All,Exterminate the Traitor,• Get Pads of Will\n• Kill Seasoned OT Saboteur\n• Kill Seasoned OT Exterminator\n• Kill Seasoned OT Techhunter\n• Kill Seasoned OT Marksman\n• Kill Seasoned OT Hired Killer,50,Kill Seasoned OT units and obtain Pads of Will. Remove hostile operatives.,635,Various
2,All,Clearing the Evil Spirits of Elysium,• Kill 30 Elysian Spirit Hunter\n• Kill Sadistic Soul Dredge\n• Kill Comatosed Soul\n• Kill Lost Soul\n• Kill Waning Soul,50,Kill 30 Spirit Hunters and several named Soul bosses. Reduce spiritual threats in the area.,4543,Ely
2,All,Termination Notice,• Kill 5 Lab Director,50,Kill the Lab Director in Foreman. Remove upper management.,1941,Foreman
2,All,Time Is Money,• Kill 5 T.I.M.,50,"Kill T.I.M. in Foreman, Secure the targeting upgrade.",1941,Foreman
2,All,Alone at the Prison,• Solo Kill Male Prison Guard (lvl 150+),50,Solo kill the Male Prison Guard (150+). No outside help.,"800,566",borealis/newland
2,All,Conqueror of Elysium,• Get The Key to the Garden of Shere\n• Get The Key to Shere's Sanctuary\n• Kill Yuttos Elysium Geosurvey Dog\n• Get Jobe Suit Helmet,60,Obtain Garden and Sanctuary keys for Shere and complete required kills. Secure your advancement.,"4540, 4541, 4542, 4543, 4544",Various
2,All,Preparing for Scheol,•Get Enhanced Pads of Dedication,60,Obtain Enhanced Pads of Dedication. Finalize preparations for Scheol.,,Various
2,All,Employee of the Month,• Kill 10 Base Protector\n• Get Collar of Amplification\n• Get Recapture Beacon,65,Kill Base Protectors and obtain Collar of Amplification and Recapture Beacon. Complete the Foreman objective.,1941,Foreman
2,All,The Crypt Must Be Cleared,• Kill 10 Eclipser\n• Kill Bane\n• Kill 10 Skincrawler\n• Kill 10 Abyss Serpent\n• Kill 10 Kizzermole\n• Kill 5 Necromancer \n• Kill 5 Crypt Guardian\n• Kill 8 Cerubin The Rejected,60,"Clear Eclipser, Bane, Skincrawler, Abyss Serpent and other Crypt bosses. Secure the entire facility.",4805,CoH
2,All,Alone in the Temple,• Solo Kill Uklesh the Frozen\n• Solo Kill Khalum\n• Solo Kill Aztur the Immortal,80,"Solo kill Uklesh, Khalum and Aztur. Complete the Temple challenge unaided.",1931,Totw
2,all,Perpetual Damnation,"• Kill 10 Dune Incubus\n• Kill 10 Dune Fiend\n• Kill 10 Dune Demon\n• Travel to PW - 4013.9, 2918.4, 45.0 \n• Kill 10 Cyborg Major General\n• Kill 10 Cyborg Lieutenant General",80,Kill Dune mobs and high-ranking Cyborg officers in Perpetual Wastelands. Stabilize the region.,570,PW
